種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅:名称,最寄駅:距離(分),取引価格(総額),坪単価,間取り,面積(㎡),取引価格(㎡単価),土地の形状,間口,延床面積(㎡),建築年,建物の構造,用途,今後の利用目的,前面道路:方位,前面道路:種類,前面道路:幅員(m),都市計画,建ぺい率(%),容積率(%),取引時点,改装,取引の事情等
宅地(土地),住宅地,13103,東京都,港区,三田,三田,4,377000000,,,141,2673758,袋地,13.9,,,,住宅,住宅,東,私道,7.7,第一種中高層住居専用地域,60,200,2026年第1四半期,,
宅地(土地),住宅地,13103,東京都,港区,芝,芝公園,8,648000000,,,217,2986175,整形,14.3,,,,住宅,住宅,南西,区道,4.8,第一種中高層住居専用地域,60,200,2026年第1四半期,,
宅地(土地),住宅地,13103,東京都,港区,芝,芝公園,3,505000000,,,152,3322368,整形,8.9,,,,住宅,住宅,南東,区道,8.7,第一種中高層住居専用地域,60,200,2025年第4四半期,,
宅地(土地),住宅地,13103,東京都,港区,三田,三田,15,325000000,,,178,1825842,袋地,9.7,,,,住宅,住宅,東,都道,5.0,第一種中高層住居専用地域,60,200,2025年第4四半期,,
宅地(土地),住宅地,13103,東京都,港区,三田,三田,6,597000000,,,218,2738532,不整形,13.3,,,,住宅,住宅,北西,区道,4.3,第一種中高層住居専用地域,60,200,2026年第1四半期,,
宅地(土地),住宅地,13103,東京都,港区,赤坂,赤坂,13,423000000,,,164,2579268,整形,5.6,,,,住宅,住宅,南西,区道,6.3,第一種中高層住居専用地域,60,200,2025年第3四半期,,
宅地(土地),住宅地,13103,東京都,港区,赤坂,赤坂,6,602000000,,,245,2457142,整形,6.7,,,,住宅,住宅,北,私道,7.1,第一種中高層住居専用地域,60,200,2026年第1四半期,,
宅地(土地),住宅地,13103,東京都,港区,赤坂,赤坂,15,434000000,,,164,2646341,整形,10.7,,,,住宅,住宅,南東,区道,7.4,第一種中高層住居専用地域,60,200,2025年第4四半期,,
宅地(土地),住宅地,13103,東京都,港区,六本木,六本木,14,560000000,,,274,2043795,不整形,9.3,,,,住宅,住宅,北東,区道,8.5,第一種中高層住居専用地域,60,200,2026年第1四半期,,
宅地(土地),住宅地,13103,東京都,港区,三田,三田,4,364000000,,,119,3058823,不整形,5.7,,,,住宅,住宅,東,区道,6.0,第一種中高層住居専用地域,60,200,2025年第3四半期,,
宅地(土地),住宅地,13103,東京都,港区,三田,三田,9,238000000,,,66,3606060,整形,14.0,,,,住宅,住宅,南西,区道,4.4,第一種中高層住居専用地域,60,200,2025年第4四半期,,
宅地(土地),住宅地,13103,東京都,港区,麻布十番,麻布十番,15,707000000,,,264,2678030,整形,13.4,,,,住宅,住宅,北東,区道,9.7,第一種中高層住居専用地域,60,200,2025年第4四半期,,
宅地(土地),住宅地,13103,東京都,港区,三田,三田,7,550000000,,,172,3197674,整形,5.8,,,,住宅,住宅,南西,区道,6.0,第一種中高層住居専用地域,60,200,2026年第1四半期,,
宅地(土地),住宅地,13103,東京都,港区,六本木,六本木,12,723000000,,,280,2582142,整形,11.1,,,,住宅,住宅,北,私道,7.6,第一種中高層住居専用地域,60,200,2025年第3四半期,,
宅地(土地),住宅地,13103,東京都,港区,麻布十番,麻布十番,8,429000000,,,115,3730434,整形,12.3,,,,住宅,住宅,南西,区道,8.6,第一種中高層住居専用地域,60,200,2025年第4四半期,,
宅地(土地),住宅地,13103,東京都,港区,白金,白金台,4,441000000,,,113,3902654,整形,11.2,,,,住宅,住宅,南東,区道,4.3,第一種中高層住居専用地域,60,200,2025年第3四半期,,
宅地(土地),住宅地,13103,東京都,港区,麻布十番,麻布十番,6,694000000,,,287,2418118,不整形,5.3,,,,住宅,住宅,北西,区道,5.4,第一種中高層住居専用地域,60,200,2026年第1四半期,,
宅地(土地),住宅地,13103,東京都,港区,三田,三田,7,499000000,,,166,3006024,不整形,14.6,,,,住宅,住宅,東,区道,7.6,第一種中高層住居専用地域,60,200,2025年第3四半期,,
宅地(土地),住宅地,13103,東京都,港区,芝,芝公園,9,577000000,,,194,2974226,整形,11.7,,,,住宅,住宅,西,区道,4.5,第一種中高層住居専用地域,60,200,2025年第3四半期,,
宅地(土地),住宅地,13103,東京都,港区,芝,芝公園,12,618000000,,,263,2349809,不整形,9.9,,,,住宅,住宅,北,都道,7.4,第一種中高層住居専用地域,60,200,2025年第4四半期,,
宅地(土地),住宅地,13103,東京都,港区,高輪,高輪台,9,155000000,,,53,2924528,不整形,5.7,,,,住宅,住宅,北西,区道,9.8,第一種中高層住居専用地域,60,200,2026年第1四半期,,
